,code,trade,open,settlement,high,low,volume,amount,per,pb
0,603999,4.94,4.92,4.9,4.97,4.9,567000,2796529,37.71,1.693
1,603998,5.5,5.43,5.42,5.51,5.43,1112481,6085529,39.286,2.299
2,603997,10.87,0.0,10.87,0.0,0.0,0,0,23.63,4.076
3,603996,8.36,8.35,8.26,8.44,8.27,1270637,10604822,17.061,1.665
4,603993,4.36,4.32,4.3,4.38,4.29,45045948,195517689,31.143,2.3810000000000002
5,603991,18.04,18.15,18.03,18.28,17.95,139900,2528302,33.407,2.882
6,603990,32.09,32.22,32.17,32.31,31.15,82100,2635714,50.141,6.012
7,603989,22.03,22.32,22.32,22.51,22.0,339245,7510207,22.711,4.982
8,603988,10.91,10.74,10.8,11.07,10.74,2218522,24265724,38.964,2.762
9,603987,6.11,6.09,6.1,6.16,6.07,688168,4207578,16.079,1.546
10,603986,74.69,77.11,79.86,78.75,72.39,6787093,511897770,37.533,11.56
11,603985,19.3,19.6,19.66,19.78,19.12,1165180,22547948,15.251,1.94
12,603980,12.7,12.63,12.62,12.79,12.63,684500,8696117,14.383,1.479
13,603979,8.41,8.33,8.26,8.45,8.27,1083434,9085904,24.029,1.2429999999999999
14,603978,21.22,20.98,20.91,21.43,20.98,614166,13015411,13.516,2.533
15,603977,7.78,7.69,7.58,7.95,7.53,543680,4192481,25.097,2.507
16,603976,13.78,13.8,13.7,13.96,13.71,240380,3322289,15.143,2.19
17,603970,16.52,16.27,16.24,16.6,16.27,949955,15628163,18.796,3.183
18,603969,4.96,5.08,5.1,5.16,4.89,19663319,98536512,16.533,1.78
19,603968,13.42,13.41,13.31,13.6,13.29,1093800,14667765,16.987,2.044
20,603966,8.51,8.49,8.41,8.58,8.43,204421,1736494,20.756,2.102
21,603963,13.95,13.97,13.88,14.15,13.78,408950,5731346,25.364,3.071
22,603960,26.66,26.97,26.7,26.99,26.56,253624,6787135,52.275,7.977
23,603959,15.14,15.68,15.43,15.68,14.98,374100,5721639,31.542,4.593
24,603958,8.63,8.55,8.63,8.79,8.55,289400,2504801,103.23,1.702
25,603955,16.13,16.03,16.04,16.17,15.91,137400,2203487,16.793,1.694
26,603939,50.64,53.7,54.4,53.99,50.1,2437009,125755398,58.611,5.596
27,603938,21.4,21.98,21.72,21.98,21.28,635400,13735659,19.633,3.143
28,603937,13.75,13.57,13.49,13.81,13.47,876444,11944139,23.707,2.2880000000000003
29,603936,16.04,16.01,15.98,16.21,15.85,340481,5461396,41.128,2.617
30,603933,17.37,17.24,17.19,17.5,17.17,307700,5326524,11.042,2.478
31,603929,18.58,18.91,18.9,19.15,18.37,1383079,25938060,30.967,3.813
32,603928,13.78,14.01,14.02,14.02,13.5,1659300,22809422,20.567,2.37
33,603926,14.62,14.67,14.62,14.75,14.58,231566,3391352,14.333,1.679
34,603922,15.46,15.29,15.29,15.58,15.29,301400,4647892,17.77,1.767
35,603920,12.4,12.65,12.45,12.65,12.3,985500,12289107,25.306,2.045
36,603919,14.9,14.83,14.92,15.06,14.83,190660,2844572,21.594,2.858
37,603918,14.2,14.11,14.27,14.31,14.11,348004,4943467,71.0,4.857
38,603917,15.18,15.1,14.97,15.33,14.8,4939760,74352116,16.028,2.77
39,603916,12.98,12.92,12.79,13.06,12.82,747700,9665106,22.772,1.9849999999999999
40,603912,12.62,12.3,12.23,12.67,12.25,1266256,15738866,18.029,4.158
